name,byte_theory,byte_os,byte_encoded,ratio_theory,ratio_os
R_1_E_0_S_5_B_74.pt,29362176,29364264,23703348.25,0.1927250810702858,0.19278248383817828
R_1_E_0_S_47_B_56.pt,135790592,135792303,61655442,0.5459520347330101,0.5459577557941557
R_0_E_0_S_6_B_117.pt,135790592,135792303,87371076.25,0.35657489253747415,0.35658299977429503
R_1_E_0_S_46_B_100.pt,29381632,29383798,12276987,0.5821543541216498,0.5821851552341872
R_1_E_0_S_13_B_31.pt,135790592,135792303,84868979.75,0.3750010328403311,0.37500890790547975
R_1_E_0_S_40_B_25.pt,29381632,29383791,13025718.25,0.5566713840129779,0.5567039579746534
R_0_E_0_S_21_B_88.pt,135790592,135792303,64043310.5,0.5283671014557474,0.5283730440892516
R_0_E_0_S_31_B_29.pt,29362176,29364271,15782550.25,0.4624870360425603,0.46252538501636903
R_0_E_0_S_2_B_104.pt,29362176,29364271,26848379.75,0.08561341809271901,0.08567865519290432
R_1_E_0_S_12_B_98.pt,135790592,135792303,96157481,0.29186934393805425,0.29187826647287957
R_0_E_0_S_28_B_116.pt,135790592,135792310,54491605,0.598708539395719,0.5987136164043457
R_0_E_0_S_27_B_139.pt,29362176,29364278,18090787.5,0.38387442742663214,0.3839185318978386
R_1_E_0_S_31_B_36.pt,135790592,135792303,64504943.75,0.524967504744364,0.5249734902132118
R_1_E_0_S_46_B_6.pt,135790592,135792296,66144867.75,0.5128906445153432,0.5128967570443024
R_1_E_0_S_35_B_128.pt,135790592,135792310,33602693,0.7525403453576519,0.7525434761364617
R_1_E_0_S_0_B_61.pt,135790592,135792296,127041576.5,0.06443020367714429,0.06444194374620486
R_1_E_0_S_23_B_119.pt,29362176,29364278,15287947.75,0.4793319217894478,0.47936919307193593
R_0_E_0_S_19_B_104.pt,29362176,29364278,18635701.75,0.3653160532107702,0.3653614861567514
R_0_E_0_S_7_B_75.pt,29381632,29383784,16425559.5,0.44095823200018297,0.4409991749190642
R_0_E_0_S_15_B_93.pt,135790592,135792303,58035919.75,0.5726072116247936,0.5726125968273769
R_1_E_0_S_7_B_125.pt,29381632,29383791,13598098,0.5371905141280103,0.5372245194638091
R_1_E_0_S_11_B_64.pt,29362176,29364271,23278079.25,0.20720864659349497,0.2072652084569033
R_1_E_0_S_50_B_82.pt,135790592,135792303,62262030,0.5414849505921588,0.5414907279391233
R_1_E_0_S_49_B_116.pt,135790592,135792310,48317403.75,0.6441770888663627,0.644181590621737
R_0_E_0_S_29_B_36.pt,135790592,135792303,66109135.25,0.5131537886660071,0.513159922989155
R_1_E_0_S_22_B_84.pt,29362176,29364271,17957712.5,0.3884066187737585,0.3884502530302898
R_1_E_0_S_23_B_110.pt,29381632,29383798,11129635.5,0.6212043122723748,0.6212322348526899
R_1_E_0_S_45_B_35.pt,29381632,29383791,13847261.5,0.5287102670130781,0.5287448954425248
R_0_E_0_S_9_B_69.pt,29362176,29364264,20152269.25,0.3136656748464419,0.3137144779109737
R_0_E_0_S_44_B_13.pt,135790592,135792303,62206031,0.5418973429322703,0.5419031150830397
R_0_E_0_S_36_B_5.pt,29381632,29383784,11227184.75,0.6178842363147152,0.6179122215845311
R_1_E_0_S_1_B_109.pt,29362176,29364271,29002831.75,0.012238338534582723,0.0123088105950255
R_1_E_0_S_43_B_25.pt,29381632,29383791,12866420,0.5620930791046597,0.5621252547024991
R_1_E_0_S_31_B_91.pt,135790592,135792303,62335165,0.5409463639425035,0.5409521480757271
R_0_E_0_S_51_B_11.pt,135790592,135792303,62545368.5,0.5393983664199652,0.5394041700581512
R_1_E_0_S_0_B_99.pt,29362176,29364200,29426673.25,-0.00219661,-0.002127531
R_0_E_0_S_23_B_46.pt,135790592,135792303,68224642.5,0.4975746000135267,0.4975809306363999
R_1_E_0_S_3_B_110.pt,29381632,29383791,22107714,0.24756684720576447,0.2476221328963305
R_0_E_0_S_36_B_89.pt,29362176,29364271,16288244.75,0.4452643853779774,0.4453039631053671
R_0_E_0_S_46_B_100.pt,29381632,29383798,12203644.5,0.5846505565109521,0.5846811736181959
R_1_E_0_S_4_B_38.pt,135790592,135792296,91383163.5,0.32702875689650135,0.327037201727556
R_1_E_0_S_47_B_115.pt,29381632,29383798,10355664.25,0.6475463224779345,0.6475723032808761
R_1_E_0_S_12_B_127.pt,135790592,135792310,116922910.3,0.13894689957607667,0.13895779333896005
R_0_E_0_S_39_B_6.pt,135790592,135792296,66883427.25,0.5074516852389892,0.5074578660191444
R_1_E_0_S_25_B_25.pt,29381632,29383791,13337422.5,0.5460625706563883,0.5460959241099965
R_1_E_0_S_4_B_128.pt,135790592,135792303,131294284.8,0.03311206751348429,0.03312425042235273
R_0_E_0_S_20_B_138.pt,135790592,135792310,47186006.5,0.6525090154993949,0.6525134118419519
R_1_E_0_S_3_B_140.pt,29367296,29369263,22191685.75,0.244340175207142,0.24439078535951003
R_0_E_0_S_25_B_19.pt,29362176,29364271,15015257.5,0.48861904853373267,0.48865553311369453
